model,stdev
distilled,0.37027812
distilled,0.619245
distilled,0.36585888
distilled,0.5768713
distilled,0.4702089
distilled,0.29811418
distilled,0.56076956
distilled,0.5221925
distilled,0.29741564
distilled,0.72712547
distilled,0.71266794
distilled,0.2760583
distilled,0.5225413
distilled,0.45042425
distilled,0.2518656
distilled,0.67632914
distilled,0.4715303
distilled,0.24187922
distilled,0.40349838
distilled,0.1648428
distilled,0.6707679
distilled,0.23630126
distilled,0.5032957
distilled,0.21390302
distilled,0.39922598
distilled,0.28588507
distilled,0.29457298
distilled,0.286555
distilled,0.5167241
distilled,0.17811425
distilled,0.26632383
distilled,0.8884656
distilled,0.23050506
distilled,0.38061956
distilled,0.5076244
distilled,0.4458088
distilled,0.2653532
distilled,0.53295004
distilled,0.44367242
distilled,0.15171003
distilled,0.33565858
distilled,0.3878371
distilled,0.90562683
distilled,0.7698407
distilled,0.24777307
distilled,0.23421596
distilled,0.58834606
distilled,0.38210943
distilled,0.14926316
distilled,0.29615855
distilled,0.14156549
distilled,0.80738044
distilled,0.6098862
distilled,0.85273755
distilled,0.2501643
distilled,0.56981593
distilled,0.2941234
distilled,0.3253697
distilled,0.39662033
distilled,0.4617067
distilled,0.6555228
distilled,0.24450544
distilled,0.33661553
distilled,0.24941665
distilled,0.8333709
distilled,0.17907064
distilled,0.48915762
distilled,1.0219281
distilled,0.24903385
distilled,0.23904999
distilled,0.822788
distilled,0.5027742
distilled,0.18216377
distilled,0.4236311
distilled,0.28663415
distilled,0.21551856
distilled,0.59964204
distilled,0.23855181
distilled,0.33062387
distilled,0.40060237
distilled,0.42097652
distilled,0.30106622
distilled,0.53069425
distilled,0.26604208
distilled,0.12699182
distilled,0.21710028
distilled,0.3913343
distilled,0.43554813
distilled,0.45502162
distilled,0.11707928
distilled,0.6861559
distilled,0.5053552
distilled,0.4293217
distilled,0.8055631
distilled,0.1792193
distilled,0.374636
distilled,0.33075514
distilled,0.76292276
distilled,0.30193284
distilled,0.70085543
distilled,0.32438335
distilled,0.21166056
distilled,0.17295411
distilled,0.277388
distilled,0.20834878
distilled,0.4483884
distilled,0.89285135
distilled,0.2309419
distilled,0.39376324
distilled,0.26937306
distilled,0.3286602
distilled,0.5178787
distilled,0.33615312
distilled,0.35301772
distilled,0.24313912
distilled,0.2185354
distilled,0.3770637
distilled,0.53477544
distilled,0.7376062
distilled,0.2520871
distilled,0.27272436
distilled,0.6414429
distilled,0.7959272
distilled,0.23770492
distilled,0.5400186
distilled,0.47445387
distilled,0.65277386
distilled,0.2905798
distilled,0.61490715
distilled,0.294562
distilled,0.2928974
distilled,0.1678625
distilled,0.4230632
distilled,0.409762
distilled,0.3891872
distilled,0.36383057
distilled,0.19995894
distilled,0.7433692
distilled,0.45069453
distilled,0.32074863
distilled,0.46458313
distilled,0.55457157
distilled,0.3488063
distilled,0.59884113
distilled,0.27187407
distilled,0.20933522
distilled,1.0037928
distilled,0.47213298
distilled,0.23224853
distilled,0.28963956
distilled,0.51174563
distilled,0.3561584
distilled,0.5300163
distilled,0.2503987
distilled,0.4422773
distilled,0.25204462
distilled,0.23110874
distilled,0.683445
distilled,0.22348379
distilled,0.72941077
distilled,0.21628545
distilled,0.3992529
distilled,0.42561635
distilled,0.29517832
distilled,0.2096584
distilled,0.23232108
distilled,0.8294499
distilled,0.509285
distilled,0.30135176
distilled,0.25724122
distilled,0.24208623
distilled,0.5802935
distilled,0.2168742
distilled,0.25285617
distilled,0.31993788
distilled,0.32159182
distilled,0.17944008
distilled,0.34873736
distilled,0.23220837
distilled,0.20802325
distilled,0.20111617
distilled,0.6215528
distilled,0.3220422
distilled,0.17369843
distilled,0.34835577
distilled,0.44763812
distilled,0.5431289
distilled,0.3522751
distilled,0.5083334
distilled,0.5075546
distilled,0.30914104
distilled,0.33590916
distilled,0.77010995
distilled,0.32905832
distilled,0.19566107
distilled,0.4195982
distilled,0.20538504
distilled,0.11949442
distilled,0.41565096
distilled,0.37879613
distilled,0.64809364
distilled,0.33496308
distilled,0.730949
distilled,0.48411247
distilled,0.6015541
distilled,0.4640022
distilled,0.43033797
distilled,0.21309024
distilled,0.281919
distilled,0.4533172
distilled,0.4055599
distilled,0.33645892
distilled,0.7585155
distilled,0.12562853
distilled,0.4213279
distilled,0.3229394
distilled,0.385152
distilled,0.26217252
distilled,0.93487185
distilled,0.34947658
distilled,0.25062814
distilled,0.25830033
distilled,0.42467764
distilled,0.15419723
distilled,0.6956637
distilled,0.75100654
distilled,0.2688334
distilled,0.5010918
distilled,1.0317273
distilled,0.7360083
distilled,0.37183148
distilled,0.3621957
distilled,0.58361065
distilled,0.74028707
distilled,0.45619938
distilled,0.24356425
distilled,0.28762954
distilled,0.3174038
distilled,0.2126896
distilled,0.6443013
distilled,0.14275008
distilled,0.22667606
distilled,0.82345015
distilled,0.44528687
distilled,0.2888978
distilled,0.32290685
distilled,0.2098979
distilled,0.8539138
distilled,0.8315962
distilled,0.49917787
distilled,0.28907707
distilled,0.4251659
distilled,0.868146
distilled,0.45969623
distilled,0.4192326
distilled,0.25140798
distilled,0.22821128
distilled,0.6758271
distilled,0.6316947
distilled,0.35177067
distilled,0.31811532
distilled,0.6518775
distilled,0.5107149
distilled,0.17163415
distilled,0.29659128
distilled,0.78985906
distilled,0.695517
distilled,0.6995873
distilled,0.49334875
distilled,0.22517288
distilled,0.3846619
distilled,0.36944595
distilled,0.48444185
distilled,0.25770178
distilled,0.38673016
distilled,0.39471748
distilled,0.30402407
distilled,0.30472296
distilled,0.27932024
distilled,0.54322505
distilled,0.27143678
distilled,0.35428396
distilled,0.4972145
distilled,0.3186569
distilled,0.57221806
distilled,0.36303127
distilled,0.60007876
distilled,0.2634477
distilled,0.6077793
distilled,0.4074962
distilled,0.4619626
distilled,0.4732578
distilled,0.41487238
distilled,0.38511318
distilled,0.30352888
distilled,0.71477103
distilled,0.24672703
distilled,0.27982414
distilled,0.45679408
distilled,0.55197066
distilled,0.2355397
distilled,0.199457
distilled,0.3871099
distilled,0.6937077
distilled,0.5309117
distilled,0.5898373
distilled,0.8914604
distilled,0.82146055
distilled,0.8238097
distilled,0.47428808
distilled,0.62828386
distilled,0.8493179
distilled,0.7400611
distilled,0.40559018
distilled,0.92248863
distilled,0.38457856
distilled,0.47835648
distilled,0.41073412
distilled,0.72506595
distilled,0.3062443
distilled,0.31021795
distilled,0.3346953
distilled,0.1594565
distilled,0.34671605
distilled,0.67780656
distilled,0.55827075
distilled,0.39411262
distilled,0.22113481
distilled,0.31999275
distilled,0.37945157
distilled,0.30181068
distilled,0.31163397
distilled,0.3613813
distilled,0.82773054
distilled,0.3784044
distilled,0.44584814
distilled,0.19003013
distilled,0.29428157
distilled,0.42024523
distilled,0.18055347
distilled,0.21579626
distilled,0.48063716
distilled,0.35395166
distilled,0.26864722
distilled,0.35487425
distilled,0.24531977
distilled,0.7442397
distilled,0.16615497
distilled,0.6676768
distilled,0.48353028
distilled,0.43452486
distilled,0.46564868
distilled,0.26900616
distilled,0.39675957
distilled,0.35670885
distilled,0.3646878
distilled,0.36922994
distilled,0.6821381
distilled,0.55003154
distilled,0.52950925
distilled,0.29149705
distilled,0.84416926
distilled,0.37408242
distilled,0.5254373
distilled,0.30058354
distilled,0.3371082
distilled,0.6550679
distilled,0.2929042
distilled,0.38944206
distilled,0.2992842
distilled,0.68712986
distilled,0.41694066
distilled,0.46710622
distilled,0.52326894
distilled,0.34306836
distilled,0.57882977
distilled,0.26662272
distilled,0.27182546
distilled,0.47471574
distilled,0.59304136
distilled,0.4196712
distilled,0.43951583
distilled,0.7311968
distilled,0.14756869
distilled,0.3329096
distilled,0.29866534
distilled,0.19274189
distilled,0.22432911
distilled,0.17708343
distilled,0.5758143
distilled,0.65944993
distilled,0.39496005
distilled,0.48428026
distilled,0.370147
distilled,0.46870187
distilled,0.27040476
distilled,0.15134732
distilled,0.6060445
distilled,0.4572668
distilled,0.33761886
distilled,0.51105213
distilled,0.19559476
distilled,0.39708745
distilled,0.40759376
distilled,0.50175023
distilled,0.1638554
distilled,0.5653331
distilled,0.6701564
distilled,0.39297903
distilled,0.49877337
distilled,0.506391
distilled,0.28470504
distilled,0.6672239
distilled,0.8026042
distilled,0.33865127
distilled,0.18544054
distilled,0.54764134
distilled,0.14896062
distilled,0.62003636
distilled,0.24855022
distilled,0.78919995
distilled,0.23459259
distilled,0.7678695
distilled,0.31941667
distilled,0.4826066
distilled,0.30162397
distilled,0.30035433
distilled,0.4849539
distilled,0.5410364
distilled,0.22159909
distilled,0.5457232
distilled,0.6834329
distilled,0.41270795
distilled,0.22407259
distilled,0.3772641
distilled,0.40472248
distilled,0.48687094
distilled,0.5052807
distilled,0.11994921
distilled,0.5356821
distilled,0.9128591
distilled,0.6308551
distilled,0.36412573
distilled,0.56426364
distilled,0.34448984
distilled,0.3846975
distilled,0.30860204
distilled,0.41371065
distilled,0.50104773
distilled,0.37096414
distilled,0.34850147
distilled,0.18116085
distilled,0.53087085
distilled,0.18974261
distilled,0.2913393
distilled,0.5293501
distilled,0.48262453
distilled,0.38659436
distilled,0.27260396
distilled,0.37446612
distilled,0.32671937
distilled,0.77238864
distilled,0.31553864
distilled,0.1553776
distilled,0.27122444
distilled,0.7378825
distilled,0.5111745
distilled,0.4303766
distilled,0.24205527
distilled,0.45089772
distilled,0.518153
distilled,0.18322651
distilled,0.2936744
distilled,0.2533914
distilled,0.4271471
distilled,0.5412958
distilled,0.24601446
distilled,0.35072318
distilled,0.35068777
distilled,0.5515012
distilled,0.37143183
